País	 	Altura media	Peso	IMC	 	Altura media	Peso	IMC
Argentina	 	1,74 m	84,7 kg	27,9	 	1,61 m	71,4 kg	27,6
Bolivia	 	1,68 m	71,2 kg	25,3	 	1,55 m	66,8 kg	27,7
Brasil	 	1,75 m	80,7 kg	26,3	 	1,62 m	70,3 kg	26,8
Chile	 	1,73 m	82,8 kg	27,8	 	1,59 m	71,5 kg	28,2
Colombia	 	1,71 m	75,7 kg	25,8	 	1,58 m	66,4 kg	26,7
Ecuador	 	1,67 m	74,2 kg	26,6	 	1,55 m	66,9 kg	27,9
Guayana	 	1,72 m	73,7 kg	25,0	 	1,59 m	70,6 kg	27,8
Paraguay	 	1,73 m	79,4 kg	26,5	 	1,59 m	68,4 kg	26,9
Perú	 	1,66 m	72,3 kg	26,2	 	1,54 m	64,3 kg	27,1
Suriname    172,7 m      160,7m
Uruguay	 	1,74 m	82,7 kg	27,3	 	1,61 m	71,3 kg	27,4
Venezuela	 	1,73 m	79,8 kg	26,7	 	1,60 m	68,5 kg	26,9
